generation,ge,gi,sparsity,thalamic_ex,thalamic_in,ex_firing_error_norm,inhib_firing_error_norm,psd_peak_error_norm
5,0.8466528979451513,1.6554051876408835,0.527359309095329,5.495936876730595,0.27559113243068367,4.253377896841646,0.08920759379153251,0.471478171984425
5,0.26124172944749946,1.9257291568864556,0.6573577143687376,1.8607156030806937,5.292228076303601,0.9999999995,0.09786483556288826,0.7389181280616683
5,1.1730366536510628,1.3417528782154913,0.9356585275657037,2.947081670576733,4.270090150597135,0.9748574067872091,0.23466437688889463,0.5515886148098328
5,0.23972307465814802,0.5039575340261659,0.33160581317928106,3.7514699649664185,3.1673816655696427,0.061209661962859624,0.3824393333860261,4.776600953162618
5,1.0164871914087463,1.9401988874518277,0.9157726897569389,4.3678304734768485,5.906482963646379,0.39901551191280343,0.28136798448384237,2.3278208693503997
5,1.0878993722533827,1.5848440631122025,0.7655468820684981,3.7895041446736126,4.489999543251494,0.476875324002387,0.04973078564804741,1.3114718194702222
5,0.8997542251533639,0.5039575340261659,0.33160581317928106,3.8073414621985058,2.6243208836524223,0.40371812168531135,0.46261904431781675,1.6747885438330625
5,0.22818244038012375,0.5039575340261659,0.3388430756728699,3.704904441914312,3.5511222205762882,0.15451813637340972,0.22880617477360518,4.829600569998897
5,0.4598375996546649,0.8263177438278405,0.8944614413615348,3.6725557807713445,1.083205346554958,0.31820770591623493,0.8789431537669687,2.647176168370055
5,1.1773760834839961,1.6509745174828494,0.7715259461565829,3.650072635085589,4.483963093444842,0.6505554014117048,0.09571904415963545,0.9395034149120268
5,0.30974093700254013,0.8263177438278405,0.9159661563110444,3.693907962939389,1.2469953144397339,0.12041155277959305,0.900098316299187,4.255423010615473
5,0.30104966084235496,0.9644247763986731,0.9157726897569389,3.4980614643724373,5.895020620840481,0.8905447007959704,0.4257634992051476,0.7439758060433552
5,0.22518232116347914,1.6793692072178847,0.7227673879136564,3.856654809668945,5.30311556615819,0.6933446224423998,0.12107095886463316,0.8205689083230001
6,0.8466528979451513,1.6554051876408835,0.527359309095329,5.495936876730595,0.27559113243068367,4.253377896841646,0.08920759379153251,0.471478171984425
