generation,n_evals,ex_error,inhib_error,psd_peak_error,ge,gi,sparsity,thalamic_ex,thalamic_in,flops,psd_peak_freq,ex_error_raw,inhib_error_raw,psd_peak_error_raw_isum,rmse_ex_n,rmse_in_n,rmse_psd_n,rmse_l2,rmse_mean,rmse_max,rmse_l2_smooth
15,675,3.6518084482512196,0.2218320380719568,0.382099463483214,0.8452008989455535,1.7356265684760463,0.557615510572322,5.208801083271357,1.3933384772359934,36518000,31.25,1.8670634547359166,9.325555166673277,249.95124524594792,0.9335317269011925,0.9325555165740722,4.999024904818978,5.170240930133165,2.288370716098081,4.999024904818978,2.7040568488143317
16,720,3.6518084482512196,0.2218320380719568,0.382099463483214,0.8452008989455535,1.7356265684760463,0.557615510572322,5.208801083271357,1.3933384772359934,36518000,31.25,5.617287652676927,6.045007625098582,24.279192051356787,2.8086438249341414,0.6045007624494081,0.4855838410174241,2.9137077708308077,1.2995761428003247,2.8086438249341414,3.0757413735857817
17,765,0.05234647067426336,0.38908680475748464,2.524727708040024,0.3090250375213371,0.5687298646592434,0.33160581317928106,3.7514699649664185,3.1404803261380794,29813000,276.25,2.0,0.7238064888720831,33.21959762951181,0.9999999995,0.07238064887997024,0.6643919525769484,1.2027699796641482,0.5789242003189728,0.9999999995,3.0955728935427067
18,810,0.030653818270831724,0.9985003858957356,3.5276644775501103,0.5012840338290807,1.6554051876408835,0.5416553370894104,3.573851177812211,0.2889449046679631,28586000,5.0,8.969160659515355,0.3689688616039752,15.363647570374251,4.4845803275153875,0.03689688615670783,0.3072729514013396,4.495246240286395,1.6095833883578115,4.4845803275153875,2.8705746635937834
19,855,0.030653818270831724,0.9985003858957356,3.5276644775501103,0.5012840338290807,1.6554051876408835,0.5416553370894104,3.573851177812211,0.2889449046679631,28586000,5.0,1.333628914177091,0.2551755931380064,36.56472571573137,0.6668144567551382,0.025517559311248886,0.7312945143000016,0.9899920869462181,0.47454217678879623,0.7312945143000016,2.2293361022989204
20,900,0.7744136565457471,0.025814845532497754,0.7078723990333922,1.1773760834839961,1.9106366733752793,0.7252812414574978,3.647887417400156,5.0022749615564015,29430000,495.0,1.9578262170309575,2.221602626296311,24.11776661854631,0.9789131080260222,0.2221602626074151,0.4823553323612791,1.1136843008700097,0.5611429009982388,0.9789131080260222,2.1996408760342074
21,945,0.39750897711404887,0.1809844318630259,0.5752173502136084,0.6274392921852957,1.8313296201796099,0.9442826283986621,4.046680718484952,4.470792609771877,29538000,92.5,1.5731719922460798,0.26937910863069303,35.955701912214145,0.7865859957297469,0.026937910860375513,0.7191140382299007,1.0660995167895884,0.5108793149400077,0.7865859957297469,1.0565919682019387
22,990,0.06716629991630492,0.025417861991208487,1.342727323991938,0.42812539944797073,1.7448712715737413,0.8803615416243026,4.423779876345206,4.914025319485504,30447000,95.0,1.9606353103809235,2.3259949707956524,111.47776310397812,0.9803176547003029,0.23259949705630528,2.2295552620349715,2.4466388978792475,1.1474908045971932,2.2295552620349715,1.5421409051796153
23,1035,0.435442660614214,0.04920725725116567,0.6782022805291464,0.24300865240747455,1.8313000128894699,0.9198099170164012,4.2329197510639105,5.072277327606857,29791000,93.75,1.4905687664095988,1.193323440368676,84.54966489190441,0.7452843828321571,0.11933234402493438,1.6909932978042685,1.8517957103425178,0.8518700082204534,1.6909932978042685,1.7881780416704511
24,1080,0.435442660614214,0.04920725725116567,0.6782022805291464,0.24300865240747455,1.8313000128894699,0.9198099170164012,4.2329197510639105,5.072277327606857,29791000,93.75,0.7648001509108987,0.42359141575343584,34.87029538159951,0.3824000752642493,0.04235914157110767,0.6974059076180421,0.7964917541426839,0.37405504148446633,0.6974059076180421,1.6983087874548162
25,1125,0.978601558237328,0.22432021148706766,0.4624662149729913,1.273693863706703,1.3387036438648479,0.9158246943469895,2.9013628800511495,4.294849594903248,28630000,73.75,2.0,1.0190222028984453,26.20631285269512,0.9999999995,0.1019022202796543,0.5241262570434199,1.1336191577510801,0.542009492274358,0.9999999995,1.2606355407454273
