pre_norm,sep_norm,psd_norm,composite
0.020764119601328623,0.41720779220779236,0.37999999999999995,0.5647065525932197
0.0373754152823913,0.21341158841158858,0.48333333333333334,0.5296721050300833
0.012458471760797285,0.44405594405594406,0.495,0.6651059276311032
0.5440199335548168,0.16277472527472558,0.325,0.6542769285961791
0.03322259136212646,0.7521228771228772,0.30833333333333335,0.8135490196127421
0.04983388704319025,0.6670829170829171,0.365,0.7620420162705516
0.05813953488371881,0.0,0.61,0.6127643964171671
0.22840531561461874,0.812624875124875,0.28500000000000003,0.8909282664012476
0.06229235880398698,0.2878996003996005,0.4166666666666667,0.5102721126876575
0.18687707641195872,0.0,0.44500000000000006,0.4826469120260495
0.37375415282392077,0.2402597402597404,0.31833333333333336,0.5465830409497863
0.05813953488371992,0.3713161838161838,0.29666666666666663,0.47881836325627736
0.02491694352159457,0.8312937062937062,0.2833333333333333,0.8786056327930996
0.01245847176079784,0.39928821178821183,0.4266666666666667,0.5844918596833382
0.20348837209302473,0.8553946053946054,0.2616666666666667,0.9173750012724929
0.24086378737541547,0.4173326673326674,0.33833333333333326,0.5887710622442925
0.5897009966777422,0.11831918081918091,0.49,0.7757877893035211
