generation,n_evals,firing_error,psd_peak_error,ge,gi,sparsity,flops,psd_peak_freq,firing_rate_raw,psd_peak_error_raw_isum,rmse_firing_rates_n,rmse_psd_n,rmse_l2,rmse_mean,rmse_max,rmse_l2_smooth
13,650,2.4523809251322755,0.09474692481474602,0.812163503194416,0.994076389772654,0.9961474399602477,56701071,0.0800533689126084,0.22071428571428572,0.018475650433622398,2.4523809251322755,0.09474692481474602,2.45421050069355,1.2735639249735107,2.4523809251322755,2.45421050069355
14,700,2.4523809251322755,0.09474692481474602,0.812163503194416,0.994076389772654,0.9961474399602477,56701071,0.0800533689126084,0.22130952380952382,0.018475650433622398,2.458994681672546,0.09474692481474602,2.4608193400279745,1.276870803243646,2.458994681672546,2.4564134471383583
15,750,2.4523809251322755,0.09474692481474602,0.812163503194416,0.994076389772654,0.9961474399602477,56701071,0.0800533689126084,0.22071428571428572,0.018475650433622398,2.4523809251322755,0.09474692481474602,2.45421050069355,1.2735639249735107,2.4523809251322755,2.4564134471383583
16,800,2.4523809251322755,0.09474692481474602,0.812163503194416,0.994076389772654,0.9961474399602477,56701071,0.0800533689126084,0.22071428571428572,0.018475650433622398,2.4523809251322755,0.09474692481474602,2.45421050069355,1.2735639249735107,2.4523809251322755,2.4564134471383583
17,850,2.4523809251322755,0.09474692481474602,0.812163503194416,0.994076389772654,0.9961474399602477,56701071,0.0800533689126084,0.22071428571428572,0.018475650433622398,2.4523809251322755,0.09474692481474602,2.45421050069355,1.2735639249735107,2.4523809251322755,2.45421050069355
18,900,2.4523809251322755,0.09474692481474602,0.812163503194416,0.994076389772654,0.9961474399602477,56701071,0.0800533689126084,0.22071428571428572,0.018475650433622398,2.4523809251322755,0.09474692481474602,2.45421050069355,1.2735639249735107,2.4523809251322755,2.45421050069355
19,950,2.4523809251322755,0.09474692481474602,0.812163503194416,0.994076389772654,0.9961474399602477,56701071,0.0800533689126084,0.22071428571428572,0.018475650433622398,2.4523809251322755,0.09474692481474602,2.45421050069355,1.2735639249735107,2.4523809251322755,2.45421050069355
20,1000,2.4523809251322755,0.09474692481474602,0.812163503194416,0.994076389772654,0.9961474399602477,56701071,0.0800533689126084,0.22071428571428572,0.018475650433622398,2.4523809251322755,0.09474692481474602,2.45421050069355,1.2735639249735107,2.4523809251322755,2.45421050069355
21,1050,2.4523809251322755,0.09474692481474602,0.812163503194416,0.994076389772654,0.9961474399602477,56701071,0.0800533689126084,0.22071428571428572,0.018475650433622398,2.4523809251322755,0.09474692481474602,2.45421050069355,1.2735639249735107,2.4523809251322755,2.45421050069355
22,1100,2.4523809251322755,0.09474692481474602,0.812163503194416,0.994076389772654,0.9961474399602477,56701071,0.0800533689126084,0.22071428571428572,0.018475650433622398,2.4523809251322755,0.09474692481474602,2.45421050069355,1.2735639249735107,2.4523809251322755,2.45421050069355
23,1150,2.4523809251322755,0.09474692481474602,0.812163503194416,0.994076389772654,0.9961474399602477,56701071,0.0800533689126084,0.22071428571428572,0.018475650433622398,2.4523809251322755,0.09474692481474602,2.45421050069355,1.2735639249735107,2.4523809251322755,2.45421050069355
24,1200,2.4523809251322755,0.09474692481474602,0.812163503194416,0.994076389772654,0.9961474399602477,56701071,0.0800533689126084,0.22071428571428572,0.018475650433622398,2.4523809251322755,0.09474692481474602,2.45421050069355,1.2735639249735107,2.4523809251322755,2.45421050069355
25,1250,2.4523809251322755,0.09474692481474602,0.812163503194416,0.994076389772654,0.9961474399602477,56701071,0.0800533689126084,0.22071428571428572,0.018475650433622398,2.4523809251322755,0.09474692481474602,2.45421050069355,1.2735639249735107,2.4523809251322755,2.45421050069355
